127.0.0.1 - - [28/Dec/2023:16:11:43 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:11:43 +0900] "GET /MustHaveJSP/14MVCBoard/Default.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:11:43 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:11:45 +0900] "GET /MustHaveJSP/mvcboard/list.do HTTP/1.1" 200 3392
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:11:48 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:11:48 +0900] "GET /MustHaveJSP/Uploads/20231227_174723739.png HTTP/1.1" 200 43250
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:11:54 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:11:57 +0900] "POST /MustHaveJSP/mvcboard/pass.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:11:58 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:12:12 +0900] "POST /MustHaveJSP/mvcboard/edit.do HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:12:13 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:14:09 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:14:12 +0900] "POST /MustHaveJSP/mvcboard/pass.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:14:12 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:14:14 +0900] "POST /MustHaveJSP/mvcboard/edit.do HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:15:30 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:15:33 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:15:36 +0900] "POST /MustHaveJSP/mvcboard/pass.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:15:36 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:15:40 +0900] "POST /MustHaveJSP/mvcboard/edit.do HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:15:41 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:16:55 +0900] "GET /MustHaveJSP/14MVCBoard/Default.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:16:56 +0900] "GET /MustHaveJSP/mvcboard/list.do HTTP/1.1" 200 3392
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:16:58 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:00 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:01 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:01 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:01 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:02 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:02 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:02 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:04 +0900] "POST /MustHaveJSP/mvcboard/pass.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:04 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:07 +0900] "POST /MustHaveJSP/mvcboard/edit.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:07 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:25 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:28 +0900] "POST /MustHaveJSP/mvcboard/pass.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:17:28 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:22:37 +0900] "POST /MustHaveJSP/mvcboard/edit.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:22:37 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:22:40 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:22:40 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:22:40 +0900] "GET /MustHaveJSP/mvcboard/view.do?idx=8 HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:22:41 +0900] "GET /MustHaveJSP/mvcboard/pass.do?mode=edit&idx=8 HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:22:44 +0900] "POST /MustHaveJSP/mvcboard/pass.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:22:44 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:23:05 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:23:33 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1845
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:23:50 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:24:21 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:24:35 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [28/Dec/2023:16:24:47 +0900] "GET /MustHaveJSP/mvcboard/edit.do?idx=8 HTTP/1.1" 200 1906
